datetime,open,high,low,close,volume
2015-01-05,56.7,56.9,56.1,56.5,267922.0
2015-01-06,56.22,57.16,56.22,57.02,317880.0
2015-01-07,56.96,57.36,56.7,56.92,273406.0
2015-01-08,57.36,57.72,57.12,57.36,434430.0
2015-01-09,57.52,57.78,57.16,57.4,385642.0
2015-01-12,57.4,57.66,57.28,57.42,241866.0
2015-01-13,57.36,57.38,56.36,56.46,288724.0
2015-01-14,56.52,56.76,55.96,56.14,384290.0
2015-01-15,56.14,56.5,55.76,56.36,390866.0
2015-01-16,56.36,56.82,55.96,56.12,408148.0
2015-01-19,56.1,56.92,54.34,55.84,921850.0
2015-01-20,55.8,56.14,55.54,56.04,342626.0
2015-01-21,56.08,56.54,55.82,56.3,516624.0
2015-01-22,56.16,56.4,55.86,55.92,433788.0
2015-01-23,56.08,56.12,55.4,55.56,498812.0
2015-01-26,55.6,55.62,55.06,55.1,315804.0
2015-01-27,55.22,55.4,54.78,54.84,365636.0
2015-01-28,55.08,55.2,54.52,54.82,380232.0
2015-01-29,54.8,54.8,53.96,54.26,429904.0
2015-01-30,53.9,54.18,53.08,53.48,598826.0
2015-02-02,53.72,54.38,53.22,53.92,477786.0
2015-02-03,54.36,54.56,54.1,54.42,389682.0
2015-02-04,54.66,55.24,54.26,54.36,448740.0
2015-02-05,54.42,54.92,54.1,54.46,500812.0
2015-02-06,55.12,55.72,54.74,55.1,697738.0
2015-02-09,55.36,55.38,54.88,55.0,319444.0
2015-02-10,54.74,55.28,54.7,55.16,232768.0
2015-02-11,55.0,55.1,54.68,54.98,238132.0
2015-02-12,54.78,54.96,54.56,54.74,199094.0
2015-02-13,54.9,55.82,54.8,55.72,316532.0
2015-02-16,55.62,56.04,55.44,55.66,195888.0
2015-02-17,55.56,55.9,55.56,55.66,65210.0
2015-02-25,55.7,55.7,54.28,55.2,124168.0
2015-02-26,55.12,55.7,55.12,55.58,175304.0
2015-02-27,55.64,56.72,55.4,56.66,334744.0
2015-03-02,56.9,57.58,56.72,57.4,411866.0
2015-03-03,57.5,58.02,56.68,56.92,438090.0
2015-03-04,57.12,57.36,56.54,57.04,310000.0
2015-03-05,56.82,56.84,55.66,55.84,396500.0
2015-03-06,55.72,55.82,54.92,54.96,341882.0
2015-03-09,55.0,55.32,54.66,55.2,371016.0
2015-03-10,55.06,55.24,54.56,54.64,423398.0
2015-03-11,54.6,54.88,54.36,54.68,366742.0
2015-03-12,54.82,55.0,54.5,54.74,386024.0
2015-03-13,54.66,54.9,54.44,54.48,316368.0
2015-03-16,54.38,54.44,52.7,53.78,524046.0
2015-03-17,53.8,54.12,53.56,54.06,379048.0
2015-03-18,53.6,53.8,53.38,53.62,477086.0
2015-03-19,54.0,54.82,53.84,54.44,731406.0
2015-03-20,54.22,54.56,53.94,54.12,514352.0
2015-03-23,53.9,54.64,53.72,54.52,570804.0
2015-03-24,54.68,55.18,54.52,54.7,708316.0
2015-03-25,54.8,54.94,54.4,54.44,456022.0
2015-03-26,54.74,54.84,54.26,54.72,495072.0
2015-03-27,54.7,54.8,54.16,54.36,426910.0
2015-03-30,54.36,54.46,53.6,53.72,437892.0
2015-03-31,53.86,54.08,53.42,53.52,424180.0
2015-04-01,53.32,54.04,53.26,53.6,548278.0
2015-04-02,53.7,54.28,53.36,53.94,606874.0
2015-04-03,53.86,54.08,53.68,53.98,363632.0
2015-04-07,54.26,54.78,54.2,54.48,284570.0
2015-04-08,54.2,54.46,53.92,54.14,364436.0
2015-04-09,53.94,54.06,53.6,53.66,370920.0
2015-04-10,53.6,53.94,53.46,53.68,400348.0
2015-04-13,53.68,54.62,53.68,54.52,647318.0
2015-04-14,54.38,54.72,54.14,54.32,462312.0
2015-04-15,54.5,55.88,54.4,55.7,1307738.0
2015-04-16,55.6,56.42,55.42,55.84,1135694.0
2015-04-17,55.7,56.08,55.56,55.6,626078.0
2015-04-20,55.6,56.52,55.54,56.38,1041920.0
2015-04-21,56.22,56.96,56.08,56.86,1014494.0
2015-04-22,56.82,57.16,56.06,56.52,944158.0
2015-04-23,56.6,57.18,56.32,56.74,1031080.0
2015-04-24,56.9,57.44,56.46,56.72,1205596.0
2015-04-27,56.76,57.12,56.22,56.98,849102.0
