datetime,preclose,predeal,open,high,low,close,deal,up1,up2,volume,cash,keep
20140102,4006,4031,4022,4119,4022,4105,4084,74,53,10796,66145.96 ,19056
20140103,4105,4084,4091,4127,4075,4103,4096,19,12,11120,68337.09 ,16388
20140106,4103,4096,4101,4136,4078,4088,4105,-8,9,6352,39120.64 ,14788
20140107,4088,4105,4080,4112,4070,4090,4093,-15,-12,5504,33799.66 ,12572
20140108,4090,4093,4071,4081,3984,3995,4014,-98,-79,8292,49938.14 ,11312
20140109,3995,4014,4008,4023,3926,3965,3961,-49,-53,4164,24745.09 ,10456
20140110,3965,3961,3969,4013,3936,3996,3975,35,14,4196,25024.73 ,10732
20140113,3996,3975,3990,4190,3849,4050,4028,75,53,868,5245.58 ,10580
20140114,4050,4028,4022,4090,4011,4075,4076,47,48,496,3032.96 ,10712
20140115,4075,4076,4092,4098,4021,4045,4043,-31,-33,856,5192.08 ,10452
20140102,4033,4059,4062,4164,4057,4133,4113,74,54,1768,10909.73 ,9174
20140103,4133,4113,4122,4154,4099,4132,4123,19,10,1940,12000.51 ,9324
20140106,4132,4123,4125,4163,4104,4113,4130,-10,7,2384,14771.57 ,9348
20140107,4113,4130,4100,4135,4100,4113,4118,-17,-12,2440,15074.24 ,9616
20140108,4113,4118,4091,4104,4009,4019,4042,-99,-76,2574,15606.60 ,9572
20140109,4019,4042,4029,4040,3949,3978,3987,-64,-55,3110,18603.30 ,9630
20140110,3978,3987,4005,4041,3967,4014,3996,27,9,2134,12792.11 ,9594
20140113,4014,3996,4021,4120,3993,4070,4071,74,75,3716,22694.35 ,9512
20140114,4070,4071,4070,4120,4029,4108,4074,37,3,1782,10892.30 ,9406
20140115,4108,4074,4079,4128,4050,4065,4079,-9,5,1396,8542.93 ,9264
20140116,4065,4079,4043,4083,4033,4059,4066,-20,-13,898,5477.14 ,9274
20140117,4059,4066,4066,4080,4045,4065,4063,-1,-3,1944,11848.14 ,9290
20140120,4065,4063,4070,4102,4070,4098,4089,35,26,2374,14562.95 ,9176
20140121,4098,4089,4100,4107,4065,4076,4084,-13,-5,1360,8331.46 ,8876
20140122,4076,4084,4050,4050,4008,4020,4025,-64,-59,1604,9684.97 ,8830
20140123,4020,4025,4019,4033,3982,3994,3997,-31,-28,2034,12197.33 ,9626
20140124,3994,3997,4058,4065,4030,4045,4049,48,52,2482,15076.25 ,8922
20140127,4045,4049,4081,4084,4010,4029,4038,-20,-11,1854,11232.29 ,9060
20140128,4029,4038,4020,4030,4009,4019,4018,-19,-20,3298,19880.86 ,7636
20140129,4019,4018,4017,4020,3993,4012,4003,-6,-15,1152,6917.30 ,7618
20140130,4012,4003,4017,4028,3969,3983,4000,-20,-3,1080,6480.32 ,7588
20140207,3983,4000,4018,4130,3984,4015,4013,15,13,1532,9221.91 ,7396
20140210,4015,4013,4027,4065,4004,4065,4027,52,14,3464,20927.63 ,7132
20140211,4065,4027,4076,4085,4036,4044,4053,17,26,1144,6956.50 ,7072
20140212,4044,4053,4120,4120,4021,4029,4045,-24,-8,1756,10655.02 ,7168
20140213,4029,4045,4060,4060,4020,4050,4052,5,7,568,3452.38 ,7256
20140214,4050,4052,4054,4148,4054,4140,4090,88,38,912,5595.61 ,7584
20140217,4140,4090,4190,4335,4189,4335,4241,245,151,288,1832.11 ,7740
20140102,4057,4078,4101,4165,4100,4158,4138,80,60,1088,6753.62 ,5620
20140103,4158,4138,4135,4174,4124,4150,4152,12,14,830,5170.10 ,5376
20140106,4150,4152,4136,4186,4132,4132,4158,-20,6,628,3916.84 ,5526
20140107,4132,4158,4129,4161,4116,4138,4143,-20,-15,794,4934.84 ,5498
20140108,4138,4143,4123,4123,4029,4036,4053,-107,-90,670,4073.84 ,5606
20140109,4036,4053,4058,4058,3959,4006,4006,-47,-47,848,5096.75 ,5512
20140110,4006,4006,4044,4049,3987,4046,4002,40,-4,588,3530.60 ,5638
20140113,4046,4002,4014,4147,4014,4099,4119,97,117,798,4931.47 ,5500
20140114,4099,4119,4090,4145,4047,4124,4123,5,4,1424,8806.95 ,5598
20140115,4124,4123,4113,4160,4078,4090,4099,-33,-24,2008,12349.01 ,5264
20140116,4090,4099,4064,4106,4064,4085,4090,-14,-9,812,4982.63 ,5294
20140117,4085,4090,4066,4102,4066,4088,4089,-2,-1,988,6061.21 ,5316
20140120,4088,4089,4093,4127,4093,4117,4113,28,24,634,3911.92 ,5372
20140121,4117,4113,4130,4152,4090,4094,4106,-19,-7,1214,7478.33 ,5362
20140122,4094,4106,4051,4063,4028,4036,4049,-70,-57,748,4543.06 ,5466
20140123,4036,4049,4041,4052,4005,4019,4021,-30,-28,578,3486.57 ,5568
20140124,4019,4021,4072,4088,4053,4068,4070,47,49,1376,8401.38 ,5548
20140127,4068,4070,4125,4125,4030,4052,4054,-18,-16,772,4695.58 ,5718
20140128,4052,4054,4040,4051,4031,4044,4042,-10,-12,546,3310.72 ,5856
20140129,4044,4042,4038,4040,4014,4026,4023,-16,-19,812,4900.73 ,5844
20140130,4026,4023,4035,4050,3991,4000,4013,-23,-10,982,5912.46 ,5914
20140207,4000,4013,4043,4047,4021,4036,4034,23,21,942,5700.26 ,6244
20140210,4036,4034,4055,4089,4027,4086,4055,52,21,3640,22144.23 ,6800
20140211,4086,4055,4103,4110,4063,4069,4079,14,24,1488,9104.58 ,7014
20140212,4069,4079,4089,4090,4050,4074,4068,-5,-11,1498,9143.04 ,7384
20140213,4074,4068,4097,4097,4071,4074,4079,6,11,448,2741.52 ,7444
20140214,4074,4079,4079,4185,4075,4181,4149,102,70,1592,9908.07 ,7648
20140217,4181,4149,4242,4397,4219,4395,4329,246,180,2668,17326.11 ,7652
20140218,4395,4329,4388,4410,4316,4338,4357,9,28,4160,27188.87 ,7644
20140219,4338,4357,4322,4388,4320,4349,4354,-8,-3,6096,39820.06 ,6818
20140220,4349,4354,4364,4377,4278,4309,4326,-45,-28,5062,32847.89 ,6480
20140221,4309,4326,4298,4338,4298,4318,4315,-8,-11,1950,12621.90 ,6390
20140224,4318,4315,4336,4345,4268,4327,4306,12,-9,4586,29625.52 ,7572
20140225,4327,4306,4367,4379,4329,4329,4349,23,43,4004,26125.04 ,9108
