datetime,open,high,low,close,volume
2013-01-04,47.4,47.68,47.25,47.65,7914.0
2013-01-07,47.48,47.89,47.48,47.65,5354.0
2013-01-08,47.76,47.84,47.5,47.8,5754.0
2013-01-09,47.75,47.89,47.72,47.73,2092.0
2013-01-10,47.72,47.8,47.62,47.67,908.0
2013-01-11,47.6,47.91,47.55,47.69,1884.0
2013-01-14,47.88,48.05,47.88,48.01,2940.0
2013-01-15,48.15,48.2,47.91,48.0,1534.0
2013-01-16,48.05,48.2,48.0,48.18,1578.0
2013-01-17,48.25,48.27,48.12,48.12,1266.0
2013-01-18,48.07,48.19,48.02,48.09,2820.0
2013-01-21,48.08,48.34,48.07,48.18,1920.0
2013-01-22,48.18,48.28,47.98,48.19,2160.0
2013-01-23,48.21,48.21,48.02,48.06,1458.0
2013-01-24,48.0,48.03,47.66,47.7,5930.0
2013-01-25,47.5,47.91,47.5,47.71,1976.0
2013-01-28,47.81,47.9,47.75,47.89,1618.0
2013-01-29,47.89,47.99,47.7,47.75,2516.0
2013-01-30,47.78,47.91,47.77,47.86,4050.0
2013-01-31,48.0,48.03,47.87,47.89,4142.0
2013-02-01,47.9,48.01,47.82,47.9,3886.0
2013-02-04,48.0,48.01,47.84,47.87,2356.0
2013-02-05,47.9,47.9,47.78,47.83,1340.0
2013-02-06,47.84,47.88,47.78,47.78,844.0
2013-02-07,47.71,47.78,47.59,47.63,2188.0
2013-02-08,47.59,47.78,47.59,47.63,2126.0
2013-02-18,47.36,47.48,47.25,47.29,6632.0
2013-02-19,47.31,47.39,47.3,47.37,7598.0
2013-02-20,47.46,47.53,47.4,47.48,3778.0
2013-02-21,47.4,47.45,47.21,47.28,7276.0
2013-02-22,47.35,47.99,47.25,47.49,11804.0
2013-02-25,47.35,47.35,46.8,47.13,8978.0
2013-02-26,47.06,47.27,47.03,47.03,11634.0
2013-02-27,47.13,47.24,46.99,47.04,14072.0
2013-02-28,47.1,47.19,46.97,47.01,10324.0
2013-03-01,47.1,47.13,46.94,47.04,6764.0
2013-03-04,47.01,47.07,46.92,46.93,3608.0
2013-03-05,46.99,47.1,46.99,47.05,6018.0
2013-03-06,47.06,47.14,47.02,47.09,5786.0
2013-03-07,47.08,47.2,47.05,47.14,5646.0
2013-03-08,47.18,47.26,47.15,47.25,6272.0
2013-03-11,47.23,47.26,47.05,47.07,8286.0
2013-03-12,47.09,47.17,46.76,46.8,10936.0
2013-03-13,46.81,46.97,46.58,46.91,15690.0
2013-03-14,46.8,46.93,46.63,46.88,10706.0
2013-03-15,46.92,47.33,46.92,47.26,15862.0
2013-03-18,47.1,47.1,46.81,47.02,14710.0
2013-03-19,47.01,47.15,47.01,47.09,6374.0
2013-03-20,47.08,47.23,47.04,47.16,5656.0
2013-03-21,47.24,47.51,47.17,47.46,14728.0
2013-03-22,47.55,47.78,47.41,47.69,13202.0
2013-03-25,47.6,47.96,47.59,47.81,18512.0
2013-03-26,47.88,47.9,47.76,47.86,7612.0
2013-03-27,47.98,48.0,47.56,47.68,13474.0
2013-03-28,47.71,47.76,47.49,47.54,12996.0
2013-03-29,47.24,47.39,47.0,47.29,15014.0
2013-04-01,47.25,47.39,47.1,47.15,10684.0
2013-04-02,47.19,47.35,47.11,47.29,11550.0
2013-04-03,47.28,47.28,46.97,47.02,16540.0
2013-04-08,46.8,47.14,46.71,47.14,15164.0
2013-04-09,47.0,47.24,47.0,47.06,10762.0
2013-04-10,47.2,47.2,47.05,47.18,9652.0
2013-04-11,47.16,47.2,47.08,47.16,12100.0
2013-04-12,47.2,47.23,47.12,47.21,6152.0
2013-04-15,47.19,47.19,46.9,46.98,15896.0
2013-04-16,46.8,47.18,46.73,47.13,22748.0
2013-04-17,47.18,47.39,47.07,47.13,17380.0
2013-04-18,47.07,47.6,47.0,47.23,15230.0
2013-04-19,47.28,47.38,47.15,47.15,12052.0
2013-04-22,47.02,47.1,46.95,46.98,13194.0
2013-04-23,46.95,47.08,46.91,47.02,17120.0
2013-04-24,46.93,47.04,46.41,46.41,55642.0
2013-04-25,46.4,46.58,46.12,46.14,58488.0
2013-04-26,46.35,46.45,46.01,46.22,63716.0
2013-05-02,46.03,46.35,45.93,46.32,52688.0
2013-05-03,46.29,46.52,46.21,46.47,29592.0
2013-05-06,46.51,46.88,46.35,46.86,40400.0
2013-05-07,46.69,46.82,46.65,46.7,19808.0
2013-05-08,46.75,46.97,46.72,46.87,17632.0
2013-05-09,46.96,46.96,46.73,46.8,13666.0
2013-05-10,46.98,46.99,46.78,46.91,18304.0
2013-05-13,46.85,46.85,46.51,46.52,23382.0
2013-05-14,46.65,46.7,46.46,46.46,21772.0
