datetime,open,high,low,close,volume
2011-01-04,44.91,45.34,44.91,45.24,82586.0
2011-01-05,45.0,45.0,44.63,44.75,84692.0
2011-01-06,45.0,45.45,45.0,45.4,112312.0
2011-01-07,45.0,45.1,44.23,44.39,138008.0
2011-01-10,44.52,44.7,44.32,44.45,85642.0
2011-01-11,44.71,44.79,44.43,44.59,84768.0
2011-01-12,44.48,44.72,44.35,44.5,125408.0
2011-01-13,45.5,45.66,45.02,45.03,124344.0
2011-01-14,45.01,45.36,44.93,45.31,105114.0
2011-01-17,45.3,45.55,45.18,45.46,155782.0
2011-01-18,45.4,46.04,45.29,46.01,263230.0
2011-01-19,46.01,46.24,45.88,46.09,241638.0
2011-01-20,45.9,45.97,45.58,45.65,163760.0
2011-01-21,45.5,45.7,45.19,45.41,111902.0
2011-01-24,45.54,46.03,45.48,45.8,165042.0
2011-01-25,45.55,45.76,45.25,45.26,98358.0
2011-01-26,44.96,44.96,44.02,44.43,134668.0
2011-01-27,44.74,44.75,44.38,44.53,70682.0
2011-01-28,44.5,44.7,44.38,44.5,63512.0
2011-01-31,44.55,44.98,44.51,44.89,70966.0
2011-02-01,45.08,45.17,44.9,45.16,57864.0
2011-02-09,45.31,45.98,45.16,45.91,147266.0
2011-02-10,46.1,46.81,46.0,46.46,209642.0
2011-02-11,46.32,46.92,46.22,46.69,216196.0
2011-02-14,46.71,47.06,46.56,46.82,151160.0
2011-02-15,46.52,46.65,46.22,46.33,148576.0
2011-02-16,45.81,46.15,45.72,46.14,133734.0
2011-02-17,46.15,46.35,45.74,45.76,132204.0
2011-02-18,46.23,46.3,45.81,45.83,123416.0
2011-02-21,45.6,45.8,45.5,45.53,94268.0
2011-02-22,45.72,45.97,45.11,45.75,129234.0
2011-02-23,44.4,44.49,44.0,44.25,136488.0
2011-02-24,44.45,44.47,43.61,43.68,127166.0
2011-02-25,43.83,44.18,43.78,44.14,94384.0
2011-02-28,44.51,44.63,44.32,44.5,83708.0
2011-03-01,44.45,44.64,44.32,44.53,61416.0
2011-03-02,44.5,45.75,44.42,45.53,289912.0
2011-03-03,45.55,45.55,45.01,45.06,156890.0
2011-03-04,45.5,45.93,45.21,45.45,220484.0
2011-03-07,45.31,45.43,45.08,45.36,84960.0
2011-03-08,45.0,45.08,44.41,44.53,117096.0
2011-03-09,44.63,44.68,44.38,44.53,76580.0
2011-03-10,44.25,44.35,44.02,44.08,81412.0
2011-03-11,44.16,44.32,43.92,43.99,68820.0
2011-03-14,43.9,44.45,43.7,43.92,145374.0
2011-03-15,44.03,44.67,43.84,44.56,250716.0
2011-03-16,43.8,44.4,43.8,44.29,233620.0
2011-03-17,44.29,44.77,44.08,44.66,201944.0
2011-03-18,44.96,44.97,44.59,44.66,152268.0
2011-03-21,44.8,45.18,44.61,45.0,229348.0
2011-03-22,44.94,45.27,44.85,45.08,192612.0
2011-03-23,45.13,45.54,45.07,45.52,197034.0
2011-03-24,45.41,45.5,45.01,45.14,151062.0
2011-03-25,45.27,46.12,45.26,46.09,330448.0
2011-03-28,46.04,46.6,45.74,46.39,651610.0
2011-03-29,46.19,46.59,46.03,46.51,560460.0
2011-03-30,46.6,46.69,46.1,46.25,402524.0
2011-03-31,46.33,46.5,45.88,46.1,326380.0
2011-04-01,46.5,46.59,46.2,46.35,294540.0
2011-04-06,46.16,46.74,46.13,46.7,292128.0
2011-04-07,46.52,46.66,46.41,46.49,184194.0
2011-04-08,46.36,46.56,46.06,46.54,292424.0
2011-04-11,46.84,47.44,46.74,46.79,542036.0
2011-04-12,46.32,46.54,46.13,46.16,312148.0
2011-04-13,45.75,46.05,45.75,46.0,284598.0
2011-04-14,45.84,45.9,45.31,45.34,264396.0
2011-04-15,45.56,45.65,45.25,45.29,219042.0
2011-04-18,45.2,45.68,45.05,45.62,262108.0
2011-04-19,45.65,45.75,45.4,45.45,213548.0
2011-04-20,45.61,45.82,45.6,45.79,244278.0
2011-04-21,45.77,45.8,45.57,45.63,178426.0
2011-04-22,45.9,45.93,45.55,45.73,171572.0
2011-04-25,45.89,45.9,45.43,45.53,146452.0
2011-04-26,45.27,45.41,45.17,45.17,119958.0
2011-04-27,45.28,45.43,45.07,45.16,145702.0
2011-04-28,45.22,45.48,45.22,45.44,130726.0
2011-04-29,45.05,45.08,44.51,44.58,171006.0
2011-05-03,44.9,44.94,44.64,44.75,84900.0
2011-05-04,44.53,44.61,44.19,44.24,135020.0
2011-05-05,44.12,44.47,43.96,44.33,188568.0
2011-05-06,43.9,43.95,43.5,43.57,213106.0
2011-05-09,43.8,43.82,43.66,43.8,92834.0
2011-05-10,43.78,44.05,43.75,44.03,132522.0
2011-05-11,44.08,44.2,43.94,43.96,130770.0
2011-05-12,43.97,44.22,43.6,43.66,211358.0
2011-05-13,43.96,44.14,43.82,44.12,168030.0
